id,nom,groupe,subject_group_id,teaching_type_id
309,DCC,"Groupe 2",,3
310,OTA,"Groupe 2",,3
311,Commerce,"Groupe 2",,3
312,"Législation du travail","Groupe 1",,3
314,"Pratique comptable","Groupe 2",,3
315,"Travaux comptable","Groupe 2",,3
316,Hygiène,"Groupe 3",,3
317,"Mathematique Commerciale","Groupe 2",,3
319,"Dessin technique","Groupe 2",,3
320,MOB,"Groupe 2",,3
321,"Terminologie Médical","Groupe 2",,3
322,Deontologie,"Groupe 2",,3
323,GEH,"Groupe 2",,3
325,"Technologie Electrique","Groupe 2",,3
326,"Technologie Mecanique","Groupe 2",,3
327,"Reception d'un vehicule","Groupe 2",,3
328,"Moteur CI","Groupe 2",,3
329,"Procedes de Realisation","Groupe 2",,3
330,"Devis et estimation","Groupe 2",,3
331,"Financial Accounting","Groupe 1",,3
333,"Business Managemennt","Groupe 2",,3
334,Economic,"Groupe 1",,3
335,"Corporate Accounting","Groupe 1",,3
336,"Business Maths","Groupe 2",,3
337,"Commerce And financial","Groupe 2",,3
338,Entrepreuneurship,"Groupe 3",,3
341,Economic,"Groupe 1",,3
342,Geography,"Groupe 1",,3
343,ICT,"Groupe 2",,3
344,English,"Groupe 1",,3
345,"Pure Ma thematics and statistics","Groupe 2",,3
346,Biology,"Groupe 2",,3
347,Statistics,"Groupe 2",,3
348,Chemistry,"Groupe 2",,3
349,Physic,"Groupe 2",,3
350,French,"Groupe 1",,3
351,Citizenship,"Groupe 3",,3
352,Mathematics,"Groupe 2",,3
353,"Literature in  English","Groupe 1",,3
354,History,"Groupe 1",,3
355,"Food and nutrition","Groupe 2",,3
357,ENGLISH,"Groupe 1",,3
359,FRENCH,"Groupe 1",,3
363,"CITIZENSHIP EDUCATION","Groupe 3",,3
364,"COMPUTER STUDIES","Groupe 2",,3
365,BIOLOGY,"Groupe 2",,3
366,CHEMISTRY,"Groupe 2",,3
367,MATHEMATICS,"Groupe 2",,3
368,PHYSICS,"Groupe 2",,3
370,ENGLISH,"Groupe 1",,3
372,FRENCH,"Groupe 1",,3
376,"CITIZENSHIP EDUCATION","Groupe 3",,3
377,"COMPUTER STUDIES","Groupe 2",,3
379,CHEMISTRY,"Groupe 2",,3
380,MATHEMATICS,"Groupe 2",,3
381,PHYSICS,"Groupe 2",,3
382,"C.S. (General Science)","Groupe 2",,3
383,ENGLISH,"Groupe 1",,3
384,LITERATURE,"Groupe 1",,3
385,FRENCH,"Groupe 1",,3
386,GEOGRAPHY,"Groupe 1",,3
387,ECONOMICS,"Groupe 2",,3
388,HISTORY,"Groupe 1",,3
389,"CITIZENSHIP EDUCATION","Groupe 3",,3
390,"COMPUTER STUDIES","Groupe 2",,3
391,BIOLOGY,"Groupe 2",,3
392,CHEMISTRY,"Groupe 2",,3
393,MATHEMATICS,"Groupe 2",,3
394,PHYSICS,"Groupe 2",,3
395,"C.S. (General Science)","Groupe 2",,3
396,"F/N/H/BIO (combinée)","Groupe 2",,3
397,"A.M.A / LOGIC / PHIL  (selon options)","Groupe 2",,3
398,"ELECTRICAL TECHNOLOGIE AND DIASRAM","Groupe 2",,3
399,"ELECTRICAL TEST AND MEASUREMENT","Groupe 2",,3
